Informazioni cronologiche,Run Status,Job Codename,Minimum Distance,Cluster job ID,Input size,Reading time (seconds),Scattering time (seconds),Submitted on,Github commit SHA,Github commit author,Output from process 0,Number of CPUs,Number of Nodes,GB of memory,Maximum duration (minutes),Total run time (seconds),Placing strategy,Bechmark name
10/01/2023 14.54.31,Finished successfully 🧸,,2.000000,9124065.hpc-head-n1.unitn.it,100K,0.028530,0.000393,Tue Jan 10 14:54:18 CET 2023,d5a17e1d5179afbe104f7c63fbdc6ce293e3b4ef,civts,"Process 0
Loaded and sorted 100000 points
Received total number of points (100000)
Local number of points: 100000
First point: (1371, 571976)
Last point: (996108, 921081)

Local smallest distance: 2.00
Between (716771, 538556) and (716773, 538556)

Final distance: 2.000000 P1 (716771, 538556)  P2 (716773, 538556)
Total time: 0.121677 seconds
Reading time: 0.028530 seconds
Scatter time: 0.000393 seconds",1,1,1,02,0.121677,pack,fitting-lizard
10/01/2023 14.54.44,Finished successfully 🧸,,2.000000,9124066.hpc-head-n1.unitn.it,100K,0.023864,0.000412,Tue Jan 10 14:54:31 CET 2023,d5a17e1d5179afbe104f7c63fbdc6ce293e3b4ef,civts,"Process 0
Loaded and sorted 100000 points
Received total number of points (100000)
Local number of points: 100000
First point: (1371, 571976)
Last point: (996108, 921081)

Local smallest distance: 2.00
Between (716771, 538556) and (716773, 538556)

Final distance: 2.000000 P1 (716771, 538556)  P2 (716773, 538556)
Total time: 0.115997 seconds
Reading time: 0.023864 seconds
Scatter time: 0.000412 seconds",1,1,1,02,0.115997,scatter,fitting-lizard
10/01/2023 14.54.57,Finished successfully 🧸,,2.000000,9124068.hpc-head-n1.unitn.it,100K,0.198813,0.000494,Tue Jan 10 14:54:43 CET 2023,d5a17e1d5179afbe104f7c63fbdc6ce293e3b4ef,civts,"Process 0
Loaded and sorted 100000 points
Received total number of points (100000)
Local number of points: 100000
First point: (1371, 571976)
Last point: (996108, 921081)

Local smallest distance: 2.00
Between (716771, 538556) and (716773, 538556)

Final distance: 2.000000 P1 (716771, 538556)  P2 (716773, 538556)
Total time: 0.438372 seconds
Reading time: 0.198813 seconds
Scatter time: 0.000494 seconds",1,1,1,02,0.438372,pack:excl,fitting-lizard
10/01/2023 14.55.09,Finished successfully 🧸,,2.000000,9124069.hpc-head-n1.unitn.it,100K,0.024182,0.000694,Tue Jan 10 14:54:56 CET 2023,d5a17e1d5179afbe104f7c63fbdc6ce293e3b4ef,civts,"Process 0
Loaded and sorted 100000 points
Received total number of points (100000)
Local number of points: 100000
First point: (1371, 571976)
Last point: (996108, 921081)

Local smallest distance: 2.00
Between (716771, 538556) and (716773, 538556)

Final distance: 2.000000 P1 (716771, 538556)  P2 (716773, 538556)
Total time: 0.113680 seconds
Reading time: 0.024182 seconds
Scatter time: 0.000694 seconds",1,1,1,02,0.113680,scatter:excl,fitting-lizard
10/01/2023 14.55.23,Finished successfully 🧸,,2.000000,9124070.hpc-head-n1.unitn.it,100K,0.518587,0.004087,Tue Jan 10 14:55:09 CET 2023,d5a17e1d5179afbe104f7c63fbdc6ce293e3b4ef,civts,"Process 0
Loaded and sorted 100000 points
Received total number of points (100000)
Local number of points: 50000
First point: (1371, 571976)
Last point: (495995, 945060)

Local smallest distance: 5.10
Between (170363, 484904) and (170364, 484909)

Received local_best from process 1, 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after updating 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after band update 2.00, P1 (716771, 538556), P2 (716773, 538556)
New local_best: 2.00, P1 (716771, 538556), P2 (716773, 538556)

Final distance: 2.000000 P1 (716771, 538556)  P2 (716773, 538556)
Total time: 0.791909 seconds
Reading time: 0.518587 seconds
Scatter time: 0.004087 seconds",1,2,1,02,0.791909,pack,fitting-lizard
10/01/2023 14.55.35,Finished successfully 🧸,,2.000000,9124071.hpc-head-n1.unitn.it,100K,0.023960,0.000405,Tue Jan 10 14:55:23 CET 2023,d5a17e1d5179afbe104f7c63fbdc6ce293e3b4ef,civts,"Process 0
Loaded and sorted 100000 points
Received total number of points (100000)
Local number of points: 50000
First point: (1371, 571976)
Last point: (495995, 945060)

Local smallest distance: 5.10
Between (170363, 484904) and (170364, 484909)

Received local_best from process 1, 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after updating 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after band update 2.00, P1 (716771, 538556), P2 (716773, 538556)
New local_best: 2.00, P1 (716771, 538556), P2 (716773, 538556)

Final distance: 2.000000 P1 (716771, 538556)  P2 (716773, 538556)
Total time: 0.141097 seconds
Reading time: 0.023960 seconds
Scatter time: 0.000405 seconds",1,2,1,02,0.141097,scatter,fitting-lizard
10/01/2023 14.55.48,Finished successfully 🧸,,2.000000,9124072.hpc-head-n1.unitn.it,100K,0.089619,0.000613,Tue Jan 10 14:55:35 CET 2023,d5a17e1d5179afbe104f7c63fbdc6ce293e3b4ef,civts,"Process 0
Loaded and sorted 100000 points
Received total number of points (100000)
Local number of points: 50000
First point: (1371, 571976)
Last point: (495995, 945060)

Local smallest distance: 5.10
Between (170363, 484904) and (170364, 484909)

Received local_best from process 1, 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after updating 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after band update 2.00, P1 (716771, 538556), P2 (716773, 538556)
New local_best: 2.00, P1 (716771, 538556), P2 (716773, 538556)

Final distance: 2.000000 P1 (716771, 538556)  P2 (716773, 538556)
Total time: 0.167314 seconds
Reading time: 0.089619 seconds
Scatter time: 0.000613 seconds",1,2,1,02,0.167314,pack:excl,fitting-lizard
10/01/2023 14.56.01,Finished successfully 🧸,,2.000000,9124073.hpc-head-n1.unitn.it,100K,0.088565,0.000507,Tue Jan 10 14:55:48 CET 2023,d5a17e1d5179afbe104f7c63fbdc6ce293e3b4ef,civts,"Process 0
Loaded and sorted 100000 points
Received total number of points (100000)
Local number of points: 50000
First point: (1371, 571976)
Last point: (495995, 945060)

Local smallest distance: 5.10
Between (170363, 484904) and (170364, 484909)

Received local_best from process 1, 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after updating 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after band update 2.00, P1 (716771, 538556), P2 (716773, 538556)
New local_best: 2.00, P1 (716771, 538556), P2 (716773, 538556)

Final distance: 2.000000 P1 (716771, 538556)  P2 (716773, 538556)
Total time: 0.141504 seconds
Reading time: 0.088565 seconds
Scatter time: 0.000507 seconds",1,2,1,02,0.141504,scatter:excl,fitting-lizard
10/01/2023 14.56.15,Finished successfully 🧸,,2.000000,9124074.hpc-head-n1.unitn.it,100K,0.557033,0.000671,Tue Jan 10 14:56:01 CET 2023,d5a17e1d5179afbe104f7c63fbdc6ce293e3b4ef,civts,"Process 0
Loaded and sorted 100000 points
Received total number of points (100000)
Local number of points: 25000
First point: (1371, 571976)
Last point: (265583, 367601)

Local smallest distance: 5.10
Between (170363, 484904) and (170364, 484909)

Received local_best from process 1, 8.06, P1 (270459, 830313), P2 (270466, 830309)
Local_best after updating 5.10, P1 (170363, 484904), P2 (170364, 484909)
Local_best after band update 5.10, P1 (170363, 484904), P2 (170364, 484909)
New local_best: 5.10, P1 (170363, 484904), P2 (170364, 484909)

Received local_best from process 2, 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after updating 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after band update 2.00, P1 (716771, 538556), P2 (716773, 538556)
New local_best: 2.00, P1 (716771, 538556), P2 (716773, 538556)

Final distance: 2.000000 P1 (716771, 538556)  P2 (716773, 538556)
Total time: 1.363479 seconds
Reading time: 0.557033 seconds
Scatter time: 0.000671 seconds",1,4,1,02,1.363479,pack,fitting-lizard
10/01/2023 14.56.27,Finished successfully 🧸,,2.000000,9124075.hpc-head-n1.unitn.it,100K,0.027197,0.206377,Tue Jan 10 14:56:15 CET 2023,d5a17e1d5179afbe104f7c63fbdc6ce293e3b4ef,civts,"Process 0
Loaded and sorted 100000 points
Received total number of points (100000)
Local number of points: 25000
First point: (1371, 571976)
Last point: (265583, 367601)

Local smallest distance: 5.10
Between (170363, 484904) and (170364, 484909)

Received local_best from process 1, 8.06, P1 (270459, 830313), P2 (270466, 830309)
Local_best after updating 5.10, P1 (170363, 484904), P2 (170364, 484909)
Local_best after band update 5.10, P1 (170363, 484904), P2 (170364, 484909)
New local_best: 5.10, P1 (170363, 484904), P2 (170364, 484909)

Received local_best from process 2, 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after updating 2.00, P1 (716771, 538556), P2 (716773, 538556)
Local_best after band update 2.00, P1 (716771, 538556), P2 (716773, 538556)
New local_best: 2.00, P1 (716771, 538556), P2 (716773, 538556)

Final distance: 2.000000 P1 (716771, 538556)  P2 (716773, 538556)
Total time: 0.320265 seconds
Reading time: 0.027197 seconds
Scatter time: 0.206377 seconds",1,4,1,02,0.320265,scatter,fitting-lizard
